Sample ID,X,Y
TCGA-32-4211-01,-8.352647473,0.326540902
TCGA-32-4719-01,-11.52952763,5.41141147
TCGA-41-2571-01,-1.751456266,17.11748773
TCGA-41-2572-01,0.661297085,7.81398246
TCGA-41-2575-01,-4.696457346,17.82621935
TCGA-41-3392-01,-5.686033481,15.67744304
TCGA-41-3393-01,-3.069596104,-0.101915098
TCGA-41-4097-01,-5.525475423,0.035088173
TCGA-76-4926-01,7.437914402,-4.684116606
TCGA-76-4927-01,3.402184023,3.165948208
TCGA-76-4928-01,3.506539407,1.494550168
TCGA-81-5910-01,-12.01850749,4.21089895
